Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE
0,0,0,-1.2,-4,122.6,,,D 0.7,,20.6,20.5,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.2,,,47.75,0.15,Display - IAS (1),0,45,,,
0.25,0,0,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,0,0,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.3,,,48.25,0.15,Display - IAS (1),0,45,,,
1.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.5,19.75,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.3,,,48.5,0.15,Display - IAS (1),0,45,,N52 18.21,
2.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
2.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.3,,,48.75,0.15,Display - IAS (1),0,45,E004 45.94,,
3.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
3.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.4,20.38,19.63,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.3,,,49.25,0.15,Display - IAS (1),0,45,,,
4.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,327,,,,,47.4,,,49.75,0.15,Display - IAS (1),0,45,,,
5.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.25,19.63,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.4,,,50.25,0.15,Display - IAS (1),0,45,,N52 18.21,
6.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
6.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.4,,,50.5,0.15,Display - IAS (1),0,45,E004 45.94,,
7.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
7.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.6,20.63,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.5,,,51,0.15,Display - IAS (1),0,45,,,
8.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.5,,,51.5,0.15,Display - IAS (1),0,45,,,
9.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.38,19.63,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.5,,,52,0.15,Display - IAS (1),0,45,,N52 18.21,
10.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
10.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.5,143,,52.25,0.15,Display - IAS (1),0,45,E004 45.94,,
11.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
11.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,19.8,19.88,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,52.5,0.15,Display - IAS (1),0,45,,,
12.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,52.75,0.15,Display - IAS (1),0,45,,,
13.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20,19.75,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.6,,,52.75,0.15,Display - IAS (1),0,45,,N52 18.21,
14.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
14.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,52.75,0.15,Display - IAS (1),0,45,E004 45.94,,
15.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
15.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,21,21,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,52.75,0.15,Display - IAS (1),0,45,,,
16.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,,,
17.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.88,19.88,,,True (1),True (1),True (1),True (1),41.8,5,0,341,327,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,,N52 18.21,
18.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
18.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,120,53.5,0.15,Display - IAS (1),0,45,E004 45.94,,
19.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
19.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.3,20.25,19.88,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,53.5,0.15,Display - IAS (1),0,45,,,
20.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,,,
21.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,19.75,19.75,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,,N52 18.21,
22.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
22.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,E004 45.94,,
23.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
23.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.1,20,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,334,334,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,,,
24.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,53,0.15,Display - IAS (1),0,45,,,
25.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.5,19.63,,,True (1),True (1),True (1),True (1),41.8,5,0,341,327,,,,,47.6,,,53.25,0.15,Display - IAS (1),0,45,,N52 18.21,
26.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
26.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,327,,,,,47.6,,,53.25,0.15,Display - IAS (1),0,45,E004 45.94,,
27.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
27.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.5,20.5,19.75,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.6,,,53.5,0.15,Display - IAS (1),0,45,,,
28.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.7,,,53.75,0.15,Display - IAS (1),0,45,,,
29.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.88,19.63,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.7,,,53.75,0.15,Display - IAS (1),0,45,,N52 18.21,
30.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
30.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,327,,3565,,,47.7,,,53.75,0.15,Display - IAS (1),0,45,E004 45.94,,
31.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
31.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,20.8,20.75,19.63,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,327,,,,,47.7,,,53.75,0.15,Display - IAS (1),0,45,,,
32.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.7,,,54,0.15,Display - IAS (1),0,45,,,
33.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,58.75,,20.25,19.75,,,True (1),True (1),True (1),True (1),41.8,5,0,341,334,,,,,47.7,,,54.25,0.15,Display - IAS (1),0,45,,N52 18.21,
34.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
34.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,341,334,3593,,,,47.7,,,54.5,0.15,Display - IAS (1),0,45,E004 45.94,,
35.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
35.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,21.3,21.13,19.88,,5.1,True (1),True (1),True (1),True (1),41.8,5,,341,334,,,,,47.7,,,54.75,0.15,Display - IAS (1),0,45,,,
36.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,341,327,,,,,47.7,,,54.5,0.15,Display - IAS (1),0,45,,,
37.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,59.13,,43.5,40.25,,,True (1),True (1),True (1),True (1),41.8,5,0,348,334,,,,,47.7,,,54.5,0.15,Display - IAS (1),0,45,,N52 18.21,
38.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122,,,,,,,,,,,,,,,,,
38.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,479,428,,,0,,47.7,,,54.5,0.15,Display - IAS (1),0,45,E004 45.94,,
39.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
39.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,22.5,34.38,36.25,,5.1,True (1),True (1),True (1),True (1),41.8,5,,508,501,,,,,47.7,,,54.5,0.15,Display - IAS (1),0,45,,,
40.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,52.303928,4.765694,-1.2,-4,122.6,,0,D 0.7,,,,,5.3,,True (1),True (1),True (1),True (1),41.8,5,,537,523,,,,,47.7,,,54.5,0.15,Display - IAS (1),0,45,,,
41.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.5,52.303928,4.765694,-1.2,-4,122.6,,100,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,66.13,,34.38,35.25,,,True (1),True (1),True (1),True (1),41.8,5,0,559,559,,,,,47.7,,,54.75,0.15,Display - IAS (1),0,45,,N52 18.21,
42.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,5.1,,,,,,,122.3,,,,,,,,,,,,,,,,,
42.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,True (1),True (1),True (1),True (1),41.8,5,,610,602,,,,0,47.7,,,55,0.15,Display - IAS (1),0,45,E004 45.94,,
43.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.5,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
43.75,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,29.6,34.38,35.25,,5.1,True (1),True (1),True (1),True (1),41.8,5,,675,675,,,,,47.8,,,55.25,0.15,Display - IAS (1),0,45,,,
44.25,52.303928,4.765694,-1.2,-4,122.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
